event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,0.720,,720
SHOT_DETECTED,2,1.120,0.400,1120
SHOT_DETECTED,3,1.330,0.210,1330
SHOT_DETECTED,4,1.600,0.270,1600
SHOT_DETECTED,5,1.890,0.290,1890
SHOT_DETECTED,6,2.130,0.240,2130
SHOT_DETECTED,7,2.370,0.240,2370
SHOT_DETECTED,8,2.560,0.190,2560
SHOT_DETECTED,9,2.740,0.180,2740
SHOT_DETECTED,10,3.000,0.260,3000
SHOT_DETECTED,11,3.380,0.380,3380
SHOT_DETECTED,12,3.690,0.310,3690
SHOT_DETECTED,13,3.900,0.210,3900
SHOT_DETECTED,14,4.200,0.300,4200
SHOT_DETECTED,15,4.660,0.460,4660
SHOT_DETECTED,16,4.820,0.160,4820
SHOT_DETECTED,17,5.100,0.280,5100
SHOT_DETECTED,18,5.840,0.740,5840
SHOT_DETECTED,19,5.990,0.150,5990
SHOT_DETECTED,20,6.250,0.260,6250
SHOT_DETECTED,21,6.600,0.350,6600
SHOT_DETECTED,22,6.880,0.280,6880
SHOT_DETECTED,23,39.980,33.100,39980
SHOT_DETECTED,24,40.140,0.160,40140
SHOT_DETECTED,25,40.420,0.280,40420
SHOT_DETECTED,26,40.730,0.310,40730
SHOT_DETECTED,27,40.930,0.200,40930
