event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,2.110,,2110
SHOT_DETECTED,2,2.540,0.430,2540
SHOT_DETECTED,3,2.740,0.200,2740
SHOT_DETECTED,4,3.130,0.390,3130
SHOT_DETECTED,5,3.530,0.400,3530
SHOT_DETECTED,6,3.980,0.450,3980
SHOT_DETECTED,7,4.430,0.450,4430
SHOT_DETECTED,8,4.630,0.200,4630
SHOT_DETECTED,9,5.000,0.370,5000
SHOT_DETECTED,10,5.800,0.800,5800
SHOT_DETECTED,11,6.000,0.200,6000
SHOT_DETECTED,12,6.250,0.250,6250
SHOT_DETECTED,13,6.840,0.590,6840
SHOT_DETECTED,14,7.440,0.600,7440
