event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,1.130,,1130
SHOT_DETECTED,2,1.710,0.580,1710
SHOT_DETECTED,3,1.890,0.180,1890
SHOT_DETECTED,4,2.250,0.360,2250
SHOT_DETECTED,5,2.700,0.450,2700
SHOT_DETECTED,6,2.880,0.180,2880
SHOT_DETECTED,7,3.090,0.210,3090
SHOT_DETECTED,8,3.380,0.290,3380
SHOT_DETECTED,9,4.520,1.140,4520
SHOT_DETECTED,10,5.590,1.070,5590
SHOT_DETECTED,11,5.870,0.280,5870
SHOT_DETECTED,12,6.150,0.280,6150
SHOT_DETECTED,13,6.570,0.420,6570
SHOT_DETECTED,14,6.740,0.170,6740
SHOT_DETECTED,15,7.110,0.370,7110
