event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,0.770,,770
SHOT_DETECTED,2,1.350,0.580,1350
SHOT_DETECTED,3,1.890,0.540,1890
SHOT_DETECTED,4,2.060,0.170,2060
SHOT_DETECTED,5,2.380,0.320,2380
SHOT_DETECTED,6,2.640,0.260,2640
SHOT_DETECTED,7,2.910,0.270,2910
SHOT_DETECTED,8,3.530,0.620,3530
SHOT_DETECTED,9,3.690,0.160,3690
SHOT_DETECTED,10,4.000,0.310,4000
SHOT_DETECTED,11,4.390,0.390,4390
SHOT_DETECTED,12,4.740,0.350,4740
SHOT_DETECTED,13,4.930,0.190,4930
SHOT_DETECTED,14,5.240,0.310,5240
SHOT_DETECTED,15,11.980,6.740,11980
SHOT_DETECTED,16,12.310,0.330,12310
