event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,0.460,,460
SHOT_DETECTED,2,0.660,0.200,660
SHOT_DETECTED,3,0.840,0.180,840
SHOT_DETECTED,4,1.010,0.170,1010
SHOT_DETECTED,5,1.190,0.180,1190
SHOT_DETECTED,6,195.620,194.430,195620
SHOT_DETECTED,7,195.970,0.350,195970
SHOT_DETECTED,8,196.170,0.200,196170
SHOT_DETECTED,9,196.380,0.210,196380
SHOT_DETECTED,10,196.610,0.230,196610
SHOT_DETECTED,11,196.880,0.270,196880
SHOT_DETECTED,12,197.190,0.310,197190
SHOT_DETECTED,13,197.470,0.280,197470
SHOT_DETECTED,14,197.720,0.250,197720
SHOT_DETECTED,15,197.940,0.220,197940
SHOT_DETECTED,16,198.180,0.240,198180
