event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,0.770,,770
SHOT_DETECTED,2,0.940,0.170,940
SHOT_DETECTED,3,1.100,0.160,1100
SHOT_DETECTED,4,1.430,0.330,1430
SHOT_DETECTED,5,1.910,0.480,1910
SHOT_DETECTED,6,2.060,0.150,2060
SHOT_DETECTED,7,2.230,0.170,2230
SHOT_DETECTED,8,2.420,0.190,2420
SHOT_DETECTED,9,2.630,0.210,2630
SHOT_DETECTED,10,2.830,0.200,2830
SHOT_DETECTED,11,3.020,0.190,3020
SHOT_DETECTED,12,3.390,0.370,3390
SHOT_DETECTED,13,4.080,0.690,4080
SHOT_DETECTED,14,4.260,0.180,4260
SHOT_DETECTED,15,4.440,0.180,4440
SHOT_DETECTED,16,4.630,0.190,4630
SHOT_DETECTED,17,4.820,0.190,4820
SHOT_DETECTED,18,5.000,0.180,5000
SHOT_DETECTED,19,5.180,0.180,5180
SHOT_DETECTED,20,5.370,0.190,5370
SHOT_DETECTED,21,5.550,0.180,5550
SHOT_DETECTED,22,5.720,0.170,5720
SHOT_DETECTED,23,5.880,0.160,5880
SHOT_DETECTED,24,6.050,0.170,6050
SHOT_DETECTED,25,6.220,0.170,6220
SHOT_DETECTED,26,6.380,0.160,6380
SHOT_DETECTED,27,6.540,0.160,6540
SHOT_DETECTED,28,6.690,0.150,6690
SHOT_DETECTED,29,6.860,0.170,6860
SHOT_DETECTED,30,7.030,0.170,7030
SHOT_DETECTED,31,7.200,0.170,7200
SHOT_DETECTED,32,7.360,0.160,7360
SHOT_DETECTED,33,7.520,0.160,7520
SHOT_DETECTED,34,7.690,0.170,7690
SHOT_DETECTED,35,7.850,0.160,7850
SHOT_DETECTED,36,8.010,0.160,8010
SHOT_DETECTED,37,8.180,0.170,8180
SHOT_DETECTED,38,8.350,0.170,8350
SHOT_DETECTED,39,8.510,0.160,8510
SHOT_DETECTED,40,8.690,0.180,8690
SHOT_DETECTED,41,8.860,0.170,8860
SHOT_DETECTED,42,9.030,0.170,9030
SHOT_DETECTED,43,9.200,0.170,9200
SHOT_DETECTED,44,9.370,0.170,9370
SHOT_DETECTED,45,9.540,0.170,9540
SHOT_DETECTED,46,9.710,0.170,9710
SHOT_DETECTED,47,9.850,0.140,9850
