event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,1.230,,1230
SHOT_DETECTED,2,1.620,0.390,1620
SHOT_DETECTED,3,2.060,0.440,2060
SHOT_DETECTED,4,2.280,0.220,2280
SHOT_DETECTED,5,2.640,0.360,2640
SHOT_DETECTED,6,2.850,0.210,2850
SHOT_DETECTED,7,3.230,0.380,3230
SHOT_DETECTED,8,3.620,0.390,3620
SHOT_DETECTED,9,3.830,0.210,3830
SHOT_DETECTED,10,4.200,0.370,4200
SHOT_DETECTED,11,4.400,0.200,4400
SHOT_DETECTED,12,4.750,0.350,4750
SHOT_DETECTED,13,5.130,0.380,5130
SHOT_DETECTED,14,5.320,0.190,5320
