event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,2.200,,2200
SHOT_DETECTED,2,3.590,,3590
SHOT_DETECTED,3,4.070,,4070
SHOT_DETECTED,4,7.260,,7260
SHOT_DETECTED,5,7.830,,7830
SHOT_DETECTED,6,8.730,,8730
SHOT_DETECTED,7,9.470,,9470
SHOT_DETECTED,8,10.120,,10120
SHOT_DETECTED,9,10.700,,10700
SHOT_DETECTED,10,12.430,,12430
SHOT_DETECTED,11,13.040,,13040
SHOT_DETECTED,12,15.770,,15770
SHOT_DETECTED,13,15.930,,15930
SHOT_DETECTED,14,31.030,,31030
SHOT_DETECTED,15,31.300,,31300
SESSION_STOPPED,,,,
