event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,0.850,,850
SHOT_DETECTED,2,1.560,,1560
SHOT_DETECTED,3,2.850,,2850
SHOT_DETECTED,4,3.830,,3830
SHOT_DETECTED,5,6.790,,6790
SHOT_DETECTED,6,6.960,,6960
SHOT_DETECTED,7,10.050,,10050
SHOT_DETECTED,8,12.480,,12480
SHOT_DETECTED,9,14.060,,14060
SHOT_DETECTED,10,14.220,,14220
SHOT_DETECTED,11,15.390,,15390
SHOT_DETECTED,12,16.010,,16010
SHOT_DETECTED,13,16.130,,16130
SHOT_DETECTED,14,16.680,,16680
SHOT_DETECTED,15,16.800,,16800
SESSION_STOPPED,,,,
