event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,0.760,,760
SHOT_DETECTED,2,0.970,,970
SHOT_DETECTED,3,1.170,,1170
SHOT_DETECTED,4,1.530,,1530
SHOT_DETECTED,5,1.800,,1800
SHOT_DETECTED,6,2.120,,2120
SHOT_DETECTED,7,2.460,,2460
SHOT_DETECTED,8,5.150,,5150
SHOT_DETECTED,9,5.580,,5580
SHOT_DETECTED,10,5.800,,5800
SHOT_DETECTED,11,6.000,,6000
SHOT_DETECTED,12,6.250,,6250
SHOT_DETECTED,13,6.520,,6520
SHOT_DETECTED,14,6.780,,6780
SHOT_DETECTED,15,144.890,,144890
SHOT_DETECTED,16,145.400,,145400
SHOT_DETECTED,17,145.850,,145850
SHOT_DETECTED,18,146.350,,146350
SHOT_DETECTED,19,146.770,,146770
SHOT_DETECTED,20,147.180,,147180
SHOT_DETECTED,21,147.570,,147570
SHOT_DETECTED,22,147.990,,147990
SHOT_DETECTED,23,148.560,,148560
SHOT_DETECTED,24,149.260,,149260
SHOT_DETECTED,25,149.930,,149930
SHOT_DETECTED,26,150.700,,150700
SHOT_DETECTED,27,151.020,,151020
SHOT_DETECTED,28,151.430,,151430
SESSION_STOPPED,,,,
