event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,2.150,,2150
SHOT_DETECTED,2,2.680,,2680
SHOT_DETECTED,3,2.840,,2840
SHOT_DETECTED,4,3.240,,3240
SHOT_DETECTED,5,3.840,,3840
SHOT_DETECTED,6,4.760,,4760
SHOT_DETECTED,7,5.280,,5280
SHOT_DETECTED,8,5.450,,5450
SHOT_DETECTED,9,5.740,,5740
SHOT_DETECTED,10,6.530,,6530
SHOT_DETECTED,11,7.230,,7230
SHOT_DETECTED,12,14.140,,14140
SHOT_DETECTED,13,14.680,,14680
SHOT_DETECTED,14,15.180,,15180
SHOT_DETECTED,15,15.830,,15830
SHOT_DETECTED,16,16.010,,16010
SHOT_DETECTED,17,16.420,,16420
SHOT_DETECTED,18,16.760,,16760
SESSION_STOPPED,,,,
