event,shot_num,shot_time,split,ts_epoch
SHOT_DETECTED,1,1.090,,
SHOT_DETECTED,2,1.630,,
SHOT_DETECTED,3,1.820,,
SHOT_DETECTED,4,2.210,,
SESSION_STOPPED,,,,1761156513
