event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,1.800,,1800
SHOT_DETECTED,2,2.360,,2360
SHOT_DETECTED,3,2.940,,2940
SHOT_DETECTED,4,3.120,,3120
SHOT_DETECTED,5,3.460,,3460
SHOT_DETECTED,6,5.160,,5160
SHOT_DETECTED,7,5.630,,5630
SHOT_DETECTED,8,5.930,,5930
SHOT_DETECTED,9,6.400,,6400
SHOT_DETECTED,10,6.520,,6520
SHOT_DETECTED,11,6.830,,6830
SHOT_DETECTED,12,7.300,,7300
SHOT_DETECTED,13,7.720,,7720
SHOT_DETECTED,14,7.840,,7840
SHOT_DETECTED,15,8.170,,8170
SHOT_DETECTED,16,8.760,,8760
SHOT_DETECTED,17,9.350,,9350
SHOT_DETECTED,18,11.410,,11410
SHOT_DETECTED,19,11.940,,11940
SESSION_STOPPED,,,,
