event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,0.440,,440
SHOT_DETECTED,2,0.830,,830
SHOT_DETECTED,3,1.120,,1120
SHOT_DETECTED,4,1.430,,1430
SHOT_DETECTED,5,1.750,,1750
SHOT_DETECTED,6,2.040,,2040
SHOT_DETECTED,7,2.320,,2320
SHOT_DETECTED,8,2.590,,2590
SHOT_DETECTED,9,2.880,,2880
SHOT_DETECTED,10,3.200,,3200
SHOT_DETECTED,11,14.730,,14730
SHOT_DETECTED,12,14.980,,14980
SHOT_DETECTED,13,15.170,,15170
SHOT_DETECTED,14,15.390,,15390
SHOT_DETECTED,15,15.620,,15620
SHOT_DETECTED,16,15.830,,15830
SHOT_DETECTED,17,16.050,,16050
SHOT_DETECTED,18,16.310,,16310
SHOT_DETECTED,19,16.540,,16540
