event,shot_num,shot_time,split,ts_epoch
SHOT_DETECTED,1,1.160,,
SHOT_DETECTED,2,2.070,,
SHOT_DETECTED,3,3.450,,
SHOT_DETECTED,4,3.630,,
SHOT_DETECTED,5,4.810,,
SHOT_DETECTED,6,4.940,,
