event,shot_num,shot_time,split,ts_epoch
SHOT_DETECTED,1,1.050,,
SHOT_DETECTED,2,1.610,,
SHOT_DETECTED,3,7.000,,
SHOT_DETECTED,4,7.410,,
SESSION_STOPPED,,,,1761154643
