event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,1.450,,1450
SHOT_DETECTED,2,1.660,0.210,1660
SHOT_DETECTED,3,1.830,0.170,1830
SHOT_DETECTED,4,2.070,0.240,2070
SHOT_DETECTED,5,8.900,6.830,8900
SHOT_DETECTED,6,9.060,0.160,9060
SHOT_DETECTED,7,9.330,0.270,9330
SHOT_DETECTED,8,122.590,113.260,122590
SHOT_DETECTED,9,123.080,0.490,123080
SHOT_DETECTED,10,123.540,0.460,123540
SHOT_DETECTED,11,124.300,0.760,124300
SHOT_DETECTED,12,124.860,0.560,124860
SHOT_DETECTED,13,125.390,0.530,125390
SHOT_DETECTED,14,125.580,0.190,125580
