event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,0.450,,450
SHOT_DETECTED,2,0.770,0.320,770
SHOT_DETECTED,3,0.950,0.180,950
SHOT_DETECTED,4,1.110,0.160,1110
SHOT_DETECTED,5,3.260,2.150,3260
SHOT_DETECTED,6,3.630,0.370,3630
SHOT_DETECTED,7,3.900,0.270,3900
SHOT_DETECTED,8,5.200,1.300,5200
SHOT_DETECTED,9,5.410,0.210,5410
SHOT_DETECTED,10,6.070,0.660,6070
SHOT_DETECTED,11,6.200,0.130,6200
SHOT_DETECTED,12,207.010,200.810,207010
SHOT_DETECTED,13,207.500,0.490,207500
SHOT_DETECTED,14,208.100,0.600,208100
SHOT_DETECTED,15,208.320,0.220,208320
