event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,1.250,,1250
SHOT_DETECTED,2,1.560,,1560
SHOT_DETECTED,3,1.960,,1960
SHOT_DETECTED,4,2.340,,2340
SHOT_DETECTED,5,2.660,,2660
SHOT_DETECTED,6,3.030,,3030
SHOT_DETECTED,7,3.390,,3390
SHOT_DETECTED,8,3.760,,3760
SHOT_DETECTED,9,4.180,,4180
SHOT_DETECTED,10,4.650,,4650
SHOT_DETECTED,11,13.670,,13670
SHOT_DETECTED,12,14.000,,14000
SHOT_DETECTED,13,14.230,,14230
SHOT_DETECTED,14,14.420,,14420
SHOT_DETECTED,15,14.630,,14630
SHOT_DETECTED,16,14.830,,14830
SHOT_DETECTED,17,15.040,,15040
SHOT_DETECTED,18,15.250,,15250
SHOT_DETECTED,19,15.490,,15490
SHOT_DETECTED,20,21.650,,21650
SHOT_DETECTED,21,22.100,,22100
SHOT_DETECTED,22,22.510,,22510
SHOT_DETECTED,23,22.690,,22690
SHOT_DETECTED,24,33.510,,33510
SHOT_DETECTED,25,33.760,,33760
SHOT_DETECTED,26,33.990,,33990
SHOT_DETECTED,27,34.310,,34310
SHOT_DETECTED,28,34.710,,34710
SHOT_DETECTED,29,35.020,,35020
SHOT_DETECTED,30,459.270,,459270
SHOT_DETECTED,31,459.660,,459660
SHOT_DETECTED,32,459.850,,459850
SHOT_DETECTED,33,460.300,,460300
SHOT_DETECTED,34,460.740,,460740
SHOT_DETECTED,35,461.120,,461120
SHOT_DETECTED,36,461.480,,461480
SHOT_DETECTED,37,461.850,,461850
SHOT_DETECTED,38,462.270,,462270
SHOT_DETECTED,39,462.860,,462860
SHOT_DETECTED,40,463.350,,463350
SHOT_DETECTED,41,467.410,,467410
SHOT_DETECTED,42,467.850,,467850
SHOT_DETECTED,43,468.240,,468240
SHOT_DETECTED,44,470.170,,470170
SHOT_DETECTED,45,471.650,,471650
SHOT_DETECTED,46,472.180,,472180
SHOT_DETECTED,47,472.370,,472370
SHOT_DETECTED,48,476.300,,476300
