event,shot_num,shot_time,split,ts_epoch
SHOT_DETECTED,1,1.040,,
SHOT_DETECTED,2,1.610,,
SHOT_DETECTED,3,2.150,,
SHOT_DETECTED,4,2.650,,
SESSION_STOPPED,,,,1761154297
