event,shot_num,shot_time,split,ts_epoch
SHOT_DETECTED,1,3.890,,
SHOT_DETECTED,2,4.390,,
SHOT_DETECTED,3,9.510,,
SHOT_DETECTED,4,9.840,,
SESSION_STOPPED,,,,1761154617
