event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,0.960,,960
SHOT_DETECTED,2,1.450,,1450
SHOT_DETECTED,3,1.670,,1670
SHOT_DETECTED,4,2.120,,2120
SHOT_DETECTED,5,2.600,,2600
SHOT_DETECTED,6,2.820,,2820
SHOT_DETECTED,7,3.080,,3080
SHOT_DETECTED,8,3.420,,3420
SHOT_DETECTED,9,3.800,,3800
SHOT_DETECTED,10,4.250,,4250
SHOT_DETECTED,11,4.630,,4630
SHOT_DETECTED,12,5.530,,5530
SHOT_DETECTED,13,5.750,,5750
SHOT_DETECTED,14,6.150,,6150
SHOT_DETECTED,15,6.730,,6730
SHOT_DETECTED,16,7.450,,7450
SHOT_DETECTED,17,8.520,,8520
SHOT_DETECTED,18,9.160,,9160
SHOT_DETECTED,19,9.290,,9290
SHOT_DETECTED,20,9.590,,9590
SHOT_DETECTED,21,9.750,,9750
SHOT_DETECTED,22,10.190,,10190
SHOT_DETECTED,23,10.320,,10320
SHOT_DETECTED,24,10.740,,10740
SHOT_DETECTED,25,10.860,,10860
SHOT_DETECTED,26,11.550,,11550
SHOT_DETECTED,27,12.310,,12310
SHOT_DETECTED,28,12.770,,12770
SHOT_DETECTED,29,12.870,,12870
SESSION_STOPPED,,,,
