event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,0.940,,940
SHOT_DETECTED,2,1.450,,1450
SHOT_DETECTED,3,1.660,,1660
SHOT_DETECTED,4,2.040,,2040
SHOT_DETECTED,5,2.400,,2400
SHOT_DETECTED,6,2.740,,2740
SHOT_DETECTED,7,3.120,,3120
SHOT_DETECTED,8,3.470,,3470
SHOT_DETECTED,9,3.670,,3670
SHOT_DETECTED,10,3.980,,3980
SHOT_DETECTED,11,4.700,,4700
SHOT_DETECTED,12,4.890,,4890
SHOT_DETECTED,13,5.250,,5250
SHOT_DETECTED,14,5.430,,5430
SHOT_DETECTED,15,5.620,,5620
SHOT_DETECTED,16,5.920,,5920
SHOT_DETECTED,17,6.380,,6380
SHOT_DETECTED,18,6.730,,6730
SHOT_DETECTED,19,7.170,,7170
SHOT_DETECTED,20,7.430,,7430
SHOT_DETECTED,21,7.810,,7810
SESSION_STOPPED,,,,
