event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,0.850,,850
SHOT_DETECTED,2,1.250,,1250
SHOT_DETECTED,3,1.450,,1450
SHOT_DETECTED,4,1.770,,1770
SHOT_DETECTED,5,2.060,,2060
SHOT_DETECTED,6,2.230,,2230
SHOT_DETECTED,7,2.540,,2540
SHOT_DETECTED,8,3.000,,3000
SHOT_DETECTED,9,3.420,,3420
SHOT_DETECTED,10,3.880,,3880
SHOT_DETECTED,11,4.800,,4800
SHOT_DETECTED,12,5.590,,5590
SHOT_DETECTED,13,6.130,,6130
SHOT_DETECTED,14,6.660,,6660
SHOT_DETECTED,15,8.740,,8740
SHOT_DETECTED,16,9.520,,9520
SHOT_DETECTED,17,9.940,,9940
SHOT_DETECTED,18,10.350,,10350
SHOT_DETECTED,19,10.540,,10540
SHOT_DETECTED,20,10.970,,10970
SHOT_DETECTED,21,11.450,,11450
SHOT_DETECTED,22,11.950,,11950
SHOT_DETECTED,23,12.170,,12170
SHOT_DETECTED,24,12.630,,12630
SHOT_DETECTED,25,13.130,,13130
SHOT_DETECTED,26,14.080,,14080
SHOT_DETECTED,27,14.760,,14760
SHOT_DETECTED,28,15.250,,15250
SHOT_DETECTED,29,15.470,,15470
SHOT_DETECTED,30,15.940,,15940
SHOT_DETECTED,31,16.410,,16410
SHOT_DETECTED,32,16.930,,16930
SHOT_DETECTED,33,17.530,,17530
SHOT_DETECTED,34,17.750,,17750
SHOT_DETECTED,35,18.170,,18170
SHOT_DETECTED,36,18.630,,18630
SHOT_DETECTED,37,19.230,,19230
SHOT_DETECTED,38,19.700,,19700
SHOT_DETECTED,39,20.010,,20010
SHOT_DETECTED,40,20.520,,20520
SHOT_DETECTED,41,20.980,,20980
SHOT_DETECTED,42,21.210,,21210
SHOT_DETECTED,43,21.640,,21640
SHOT_DETECTED,44,22.080,,22080
SHOT_DETECTED,45,22.780,,22780
SHOT_DETECTED,46,23.220,,23220
SHOT_DETECTED,47,24.380,,24380
SHOT_DETECTED,48,24.870,,24870
SHOT_DETECTED,49,25.530,,25530
SHOT_DETECTED,50,26.010,,26010
SHOT_DETECTED,51,26.240,,26240
SHOT_DETECTED,52,26.670,,26670
SESSION_STOPPED,,,,
