event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,2.490,,2490
SHOT_DETECTED,2,3.150,,3150
SHOT_DETECTED,3,3.790,,3790
SHOT_DETECTED,4,3.970,,3970
SHOT_DETECTED,5,4.610,,4610
SHOT_DETECTED,6,5.440,,5440
SHOT_DETECTED,7,5.640,,5640
SHOT_DETECTED,8,6.190,,6190
SHOT_DETECTED,9,7.360,,7360
SHOT_DETECTED,10,7.540,,7540
SHOT_DETECTED,11,8.720,,8720
SHOT_DETECTED,12,9.740,,9740
SHOT_DETECTED,13,9.900,,9900
SHOT_DETECTED,14,10.430,,10430
SHOT_DETECTED,15,10.910,,10910
SHOT_DETECTED,16,18.340,,18340
SHOT_DETECTED,17,18.560,,18560
SHOT_DETECTED,18,19.060,,19060
SESSION_STOPPED,,,,
