event,shot_num,shot_time,split,ts_epoch
SHOT_DETECTED,1,1.290,,
SHOT_DETECTED,2,2.030,,
SHOT_DETECTED,3,2.970,,
SHOT_DETECTED,4,3.170,,
SHOT_DETECTED,5,4.860,,
SHOT_DETECTED,6,6.060,,
SHOT_DETECTED,7,7.050,,
SHOT_DETECTED,8,7.260,,
SHOT_DETECTED,9,11.740,,
SHOT_DETECTED,10,12.280,,
SHOT_DETECTED,11,12.500,,
SHOT_DETECTED,12,12.950,,
SESSION_STOPPED,,,,1761155174
