event,shot_num,shot_time,split,ts_epoch
SHOT_DETECTED,1,1.370,,
SHOT_DETECTED,2,1.540,,
SHOT_DETECTED,3,1.950,,
SHOT_DETECTED,4,2.540,,
SHOT_DETECTED,5,2.650,,
SHOT_DETECTED,6,3.630,,
SHOT_DETECTED,7,3.760,,
SHOT_DETECTED,8,4.730,,
SHOT_DETECTED,9,4.880,,
