event,shot_num,shot_time,split,ts_device
SHOT_DETECTED,1,1.140,,1140
SHOT_DETECTED,2,1.600,0.460,1600
SHOT_DETECTED,3,1.820,0.220,1820
SHOT_DETECTED,4,2.150,0.330,2150
SHOT_DETECTED,5,2.320,0.170,2320
SHOT_DETECTED,6,8.100,5.780,8100
SHOT_DETECTED,7,8.300,0.200,8300
SHOT_DETECTED,8,8.710,0.410,8710
SHOT_DETECTED,9,8.910,0.200,8910
SHOT_DETECTED,10,9.250,0.340,9250
SHOT_DETECTED,11,9.500,0.250,9500
SHOT_DETECTED,12,13.040,3.540,13040
SHOT_DETECTED,13,13.260,0.220,13260
SHOT_DETECTED,14,13.530,0.270,13530
SHOT_DETECTED,15,13.720,0.190,13720
SHOT_DETECTED,16,14.040,0.320,14040
